exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two
exp3,waveform,synthetic,R2,100,0.004437962100240599,0.0009361022387565994,-0.0035018598614839995,0.014471962862262966,-0.24197545936325168,0.013822608825215377,0.0173553181776503,0.02097873567785172,38,62,0.014932787363756446,0.013324671056512742,0.8923097029328374,0.2005285949069524
exp3,waveform,synthetic,R3,100,0.36090095344753487,0.35743766723105536,-0.0034632862164794814,0.01437307231681305,-0.2409565707415433,0.013955675735869692,0.01781912593362802,0.02097873567785172,38,62,0.044893279393728364,0.04483575616318753,0.9987186672188428,0.9680648472855922
exp3,waveform,synthetic,R4,100,41.95073286718847,41.948956223966704,-0.0017766432217752026,0.08360043700725774,-0.021251602089364247,0.9451754865571346,0.832141438598353,0.7643534344026676,48,52,0.241708884768561,0.2404741011212995,0.9948914428675477,0.8822684154138405
exp4,friedman1,reg,absdiff,100,1.1852595872769884,1.1872886317419324,0.00202904446494389,0.06180508410886514,0.032829733899720555,0.7413401306177619,0.7433802147302896,0.9204107626128221,49,51,0.12590450184949947,0.12729884035563155,1.011074572280178,0.81829227141763
exp4,friedman1,reg,eOB,100,8.422583701139601,8.425512146385179,0.0029284452455803313,0.07599496291351704,0.03853472826762122,0.8960471686012128,0.7008068489075256,0.2712530240738354,44,56,0.14173658273981152,0.1569244063898017,1.1071552831062024,0.03940011411900901
exp4,friedman1,reg,eTS,100,8.162633268183406,8.158937951906019,-0.003695316277390068,0.03881592079957375,-0.09520104640750007,0.21579136199294846,0.3434102156617407,0.48411841360729146,46,54,0.14046458486118485,0.1494309158419359,1.063833392521055,0.0196626218230187
exp4,friedman1,reg,ratio,100,1.3086411591609748,1.3124514123373894,0.003810253176414539,0.06958007466896099,0.05476069398520287,0.6400619540504373,0.5851943104715952,0.9204107626128221,51,49,0.1440938231296498,0.14884778544415753,1.032992131177131,0.486875726831999
exp4,twonorm,class,absdiff,100,0.022474159999999993,0.02249212,1.796000000000207e-05,0.002342224203744396,0.007667925201733602,0.6048290453935774,0.939033461713603,0.48411841360729146,54,46,0.002436112380350501,0.0022900685326960072,0.9400504472484634,0.4781218246011809
exp4,twonorm,class,eOB,100,0.091264,0.091743,0.00047900000000000053,0.0025348199386173607,0.18896805753440427,0.11105829371161224,0.06172640383965458,0.10735158653318887,58,41,0.002865028425476417,0.002989147204488432,1.0433220061303146,0.5915187442223999
exp4,twonorm,class,eTS,100,0.08046504,0.08073496000000001,0.00026992000000000227,0.0010410264522784391,0.2592825565663992,0.012575746015854756,0.010960361787493194,0.026525106848394424,61,38,0.002794428142724107,0.002567326550041006,0.9187305662969332,0.0263051042455269
exp4,twonorm,class,ratio,100,1.4821619360436709,1.48293772317059,0.0007757871269189631,0.15676586330924405,0.004948699356750948,0.6253783479405848,0.9606309055217662,0.48411841360729146,54,46,0.16649224494168108,0.15048040603123908,0.9038283199553792,0.24504771797436198
exp5,Boston,reg,mse_oob_outputs,100,19.234856232420352,19.445677700053025,0.21082146763267512,0.6158431383452002,0.34232981502264104,0.0005218751483653687,0.0009011537950402194,0.05688793364098089,60,40,1.1805150572758423,1.267425269894328,1.0736205879652563,0.14801744606358502
exp5,Boston,reg,mse_original,100,21.04149788235294,21.04149788235294,0.0,0.0,,1.0,,1.0,0,0,1.4975366284016856,1.4975366284016856,1.0,
exp5,Ozone,reg,mse_oob_outputs,100,5907.527036684187,5884.395485603122,-23.13155108106449,125.04132013873303,-0.1849912577330445,0.111397197415053,0.06730892915837286,0.36820161732669615,45,55,231.18699593017402,226.11589372409364,0.978064933169459,0.67706001710123
exp5,Ozone,reg,mse_original,100,9434.158278429159,9434.158278429159,0.0,0.0,,1.0,,1.0,0,0,324.27058292937863,324.27058292937863,1.0,
exp5,friedman1,reg,mse_oob_outputs,100,10.833599943246536,10.826818980620324,-0.006780962626213345,0.10323141915410773,-0.06568700383834179,0.7543660885045383,0.512788591095089,0.6172994135892524,53,47,0.11719961629376263,0.11851477643963045,1.0112215396897832,0.8887113615201261
exp5,friedman1,reg,mse_original,100,13.317666933214754,13.317666933214754,0.0,0.0,,1.0,,1.0,0,0,0.1599987362499506,0.1599987362499506,1.0,
exp5,friedman2,reg,mse_oob_outputs,100,26957.993420973115,26980.344352697204,22.35093172409772,236.00986294917865,0.09470337995539904,0.2990959214526674,0.3459274342104521,0.05688793364098089,60,40,281.2974481960194,285.31158272129403,1.0142700708841035,0.8534300444400453
exp5,friedman2,reg,mse_original,100,38228.7734349774,38228.7734349774,0.0,0.0,,1.0,,1.0,0,0,484.4126413247189,484.4126413247189,1.0,
exp5,friedman3,reg,mse_oob_outputs,100,0.0406127110466557,0.04065729830637752,4.458725972182491e-05,0.0005034017807657725,0.08857191497018341,0.4371225373859976,0.37791523140194355,0.2712530240738354,56,44,0.0006830915374889928,0.0007737918544021814,1.13277915467464,0.05620574898282693
exp5,friedman3,reg,mse_original,100,0.043637375086086776,0.043637375086086776,0.0,0.0,,1.0,,1.0,0,0,0.000782470352956513,0.000782470352956513,1.0,
