dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
Ozone,real,EB1,50,-0.17935107523698235,1.2242976535888066,0.39560951361094243,0.3053516519245208,-0.5272926185777216,0.16859046810375694,-0.14649303191200863,21,29,0,0.3222363203575473,8.321079245717925,8.141728170480942,exp2,2
Ozone,real,EB2,50,-0.17935107523698235,1.2242976535888066,0.39560951361094243,0.3053516519245208,-0.5272926185777216,0.16859046810375694,-0.14649303191200863,21,29,0,0.3222363203575473,8.321079245717925,8.141728170480942,exp2,2
waveform,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.39551689004288937,0.39551689004288937,exp3,2
waveform,synthetic,R2,50,-0.017716009127647696,0.10132299821668575,0.21659996951243224,0.2222206621575826,-0.04651168661022924,0.011079668354933844,-0.17484687030047089,22,28,0,0.47988766169832847,-0.002033226277932958,-0.019749235405580653,exp3,2
waveform,synthetic,R3,50,-0.017546154219307553,0.10072207678906492,0.21659996951243224,0.22390042404909025,-0.04617105172175925,0.011078743283144142,-0.1742036580128626,22,28,0,0.47988766169832847,0.3934277238891912,0.3758815696698837,exp3,2
waveform,synthetic,R4,50,-0.02483149428075464,0.5228968501310687,0.4399590929379758,0.7384604734310644,-0.17343713483662632,0.12377414627511704,-0.047488322552584526,22,28,0,0.47988766169832847,41.88638330649166,41.861551812210905,exp3,2
twonorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,2
twonorm,synthetic,R2,50,-0.00210464339253781,0.027011990231463577,0.9691988460743741,0.5841759678919427,-0.009781366077001133,0.005572079291925513,-0.07791515451113709,25,25,0,1.0,0.019739705749734833,0.017635062357197022,exp3,2
twonorm,synthetic,R3,50,-0.0020997977325281436,0.026992589568709483,0.9691988460743741,0.5847702507702939,-0.00977100680964222,0.005571411344585933,-0.0777916371151838,25,25,0,1.0,0.01972850954603637,0.017628711813508224,exp3,2
twonorm,synthetic,R4,50,0.1384092799999994,0.9749388189953052,0.2882989493743761,0.3203781927512291,-0.1386652666591869,0.4154838266591858,0.14196714430002189,29,21,0,0.3222363203575473,34.01709984,34.15550912,exp3,2
threenorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,2
threenorm,synthetic,R2,50,0.0023925551791597094,0.04394670892168398,0.39560951361094243,0.7019297250679246,-0.010096961305769018,0.014882071664088437,0.05444219232487705,28,22,0,0.47988766169832847,0.024307457254274675,0.026700012433434388,exp3,2
threenorm,synthetic,R3,50,0.002393587277106409,0.04390045768631329,0.39560951361094243,0.7015088565395513,-0.010082784752167177,0.014869959306379993,0.05452305974141701,28,22,0,0.47988766169832847,0.02429122781453137,0.02668481509163778,exp3,2
threenorm,synthetic,R4,50,0.19720575999999995,0.9299014675457723,0.2350883014325085,0.14014093981121037,-0.06706931299737308,0.46148083299737297,0.21207167305636385,28,22,0,0.47988766169832847,62.4185192,62.61572496,exp3,2
ringnorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,2
ringnorm,synthetic,R2,50,0.019299400044793868,0.2848867794366981,0.5755543588128955,0.6340530240566484,-0.0616645268434213,0.10026332693300904,0.06774410551080766,27,23,0,0.6718110337653662,0.5794347997479813,0.5987341997927752,exp3,2
ringnorm,synthetic,R3,50,0.019027331621643287,0.28128415074025936,0.5755543588128955,0.6345504751509714,-0.060912739519525326,0.09896740276281189,0.06764452092863674,27,23,0,0.6718110337653662,0.5756293075826957,0.594656639204339,exp3,2
